,latitude,longitude,description,locationName,source,reportedDate,entryBy
10,3.039593,101.652702,"A student's parent, who works at the Ministry of Finance, tested postive.",Brainy Bunch Bukit Kinrara,https://www.sinarharian.com.my/article/72718/KHAS/Koronavirus/Brainy-Bunch-tutup-cawangan-Bandar-Kinrara-serta-merta,2020-06-03 00:00:00,Admin
11,3.149844,101.698848,An employee has been placed under home quarantine since March 1 and has tested positive for Covid-19.,Menara Maybank,https://m.malaysiakini.com/news/513802,2020-08-03 00:00:00,Admin
12,5.296,100.2929,An employee tested positive after visiting Kuala Lumpur more than a week before that.,"Motorola Solutions Malaysia, Bayan Lepas",trnhttps://www.nst.com.my/news/nation/2020/03/573463/motorola-confirms-penang-employee-positive-covid-19,2020-09-03 00:00:00,malaysiakini.com
13,3.071781,101.624885,"A resident tested positive for Covid-19, the management said.",Koi Kinrara Suites,https://www.facebook.com/FTopNews/photos/a.702878063060423/3381407638540772/?type=3,2020-09-03 00:00:00,Admin
14,3.089858,101.628317,An employee developed symptoms on March 2 and started to self-quarantine.,Hong Leong Assurance HQ,https://www.nst.com.my/news/nation/2020/03/572986/employee-hong-leongs-takaful-pj-hq-contracts-covid-19,2020-09-03 00:00:00,Admin
15,3.047574,101.617866,Fitness First sent an email to members to say that the IOI Mall outlet closed on the weekend of March 8-9,"Fitness First, IOI Mall",Email sent to members. A member sent it to Malaysiakini,2020-09-03 00:00:00,malaysiakini.com
16,3.046412,101.770933,A student tested positive on March 10 &amp; had not been in school since March 4.,SJK (C) Batu 11 Cheras,https://www.chinapress.com.my/?p=1936678,2020-10-03 00:00:00,Admin
17,3.133737,101.699342,A student's parent tested positive. The school informed other parents in a letter on March 10.,SJKC Kuen Cheng (1),https://www.edgeprop.my/content/1659028/kuen-cheng-1-school-conduct-sanitization-procedure,2020-10-03 00:00:00,Admin
18,4.321941,113.985231,Brunei's first case had traveled from Kuala Lumpur to Brunei via an AirAsia flight on March 3.,Miri Airport,https://www.malaysiakini.com/news/514159,2020-10-03 00:00:00,Admin
19,5.726844,115.923879,Sabah's second patient was first admitted to Hospital Papar where he was tested on Mar 12.,Hospital Papar,http://www.dailyexpress.com.my/news/148674/exclusive-sabah-s-second-positive-covid-19-case-in-papar/,2020-10-03 00:00:00,Admin
20,3.15415,101.694999,"An EPF member visited the outlet on Feb 27, 2020 from 2pm to 2.30pm.","EPF outlet, Jalan Raja Laut",https://www.google.com/url?q=https://www.thestar.com.my/news/nation/2020/03/10/epf-jalan-raja-laut-temporarily-closed-after-visit-by-covid-19-positive-member&amp;sa=D&amp;ust=1583866940050000&amp;usg=AFQjCNEx6CaaxgHbLcb9NDa1wsybfp3b0g,2020-10-03 00:00:00,Admin
21,3.211624,101.748677,"A customer at A Saloon who visited on March 2, 2020 tested positive for Covid-19.","A-Saloon+, Melawati Mall",https://www.facebook.com/MelawatiMallOfficial/posts/2639302866291053,2020-10-03 00:00:00,Admin
22,3.068413,101.689443,Brunei's 1st case was diagnosed after returning from Kuala Lumpur attending a religious event in Masjid Jamek Sri Petaling.,Masjid Jamek Sri Petaling,http://www.moh.gov.bn/Lists/Latest%20news/NewDispForm.aspx?ID=368,2020-10-03 00:00:00,Admin
23,3.092452,101.559561,A student tested positive and has been quarantined since March 1. All relevant areas of the campus have been sanitised.,KDU Glenmarie Campus,https://www.chinapress.com.my/20200311/%e2%97%a4%e5%85%a8%e7%90%83%e7%96%ab%e6%80%a5%e2%97%a2-uow-malaysia-kdu%e8%af%81%e5%ae%9e-1%e5%a5%b3%e5%ad%a6%e9%99%a2%e7%94%9f%e6%a0%a1%e5%a4%96%e6%84%9f%e6%9f%93/,2020-10-03 00:00:00,Admin
24,3.1097,101.6360677,An insurance agent who attended a training session at the AIA office in Plaza 33 on 4 March tested positive.,Plaza 33,https://www.sinchew.com.my/content/content_2231663.html,2020-10-03 00:00:00,Admin
